,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
85,"[1, 0, 1, 0, 1, 1, 0]",True,1,[True],[True],[1],[[6]],"[[0, 1, 0, 2, 1, 2]]",0,6,0
86,"[1, 0, 1, 0, 1, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
87,"[1, 0, 1, 1, 0, 0, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[1, 1, 1, 0], [1, -1, 0, 1], [1, 0, -1, 1], [0, 1, 1, -1]]","[[0, 0, 0, 1, 1, 1], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",15,-1,5
88,"[1, 0, 1, 1, 0, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 2]]",3,-7,2
89,"[1, 0, 1, 1, 0, 1, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[0, 1, 0, 1], [1, 0, 1, 0], [0, 1, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",10,-1,5
90,"[1, 0, 1, 1, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 2, 2]]",3,-7,2
91,"[1, 0, 1, 1, 1, 0, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 1, 2]]",3,-7,2
92,"[1, 0, 1, 1, 1, 0, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
93,"[1, 0, 1, 1, 1, 1, 0]",True,1,[True],[True],[1],[[6]],"[[0, 1, 0, 2, 1, 2]]",0,6,0
94,"[1, 0, 1, 1, 1, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[0, 2], [2, 2]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 1, 1, 2]]",1,-4,1
95,"[1, 1, 0, 0, 0, 0, 0]",False,4,"[True, True, False, True]","[True, True, False, True]","[0, 0, -2, 0]","[[0, 0, 2, 0], [0, -1, 2, 0], [2, 2, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0], [0, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",18,-4,6
96,"[1, 1, 0, 0, 0, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 2]]",3,-7,2
97,"[1, 1, 0, 0, 0, 1, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[3, 2], [2, -1]]","[[0, 0, 2, 0, 2, 1], [1, 0, 0, 0, 0, 0]]",4,-7,2
