,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
842,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
843,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[-1, 1, 0, 0], [1, -1, 1, 2], [0, 1, -1, 1], [0, 2, 1, 4]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 2, 3]]",78,-4,40
844,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, -1, 0, 0]","[[1, 2, 0, 1], [2, 0, 0, 2], [0, 0, -1, 1], [1, 2, 1, -1]]","[[0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0]]",80,-4,41
845,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 3]]",11,-11,9
846,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
847,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",False,4,"[True, True, True, False]","[True, True, True, False]","[0, 0, 0, -2]","[[3, 1, 0, 4], [1, -1, 0, 0], [0, 0, -1, 2], [4, 0, 2, -4]]","[[0, 0, 2, 0, 2, 1], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",100,-16,49
848,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
849,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[7, 1, 2], [1, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 2], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",26,12,18
850,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
851,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 1]","[[-1, 0, 1], [0, -1, 2], [1, 2, 7]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 3]]",27,12,18
852,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
853,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 3]]",11,-11,9
854,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
855,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[1, 0, 0, 0]","[[6, 1, 1, 1], [1, -1, 0, 0], [1, 0, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 1, 2, 2], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",76,-4,43
856,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
857,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[1, 2, 0, 1], [2, 2, 1, 1], [0, 1, -1, 0], [1, 1, 0, -1]]","[[0, 0, 1, 0, 1, 1], [0, 0, 1, 0, 2, 1], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",64,-1,38
858,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
859,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 1]","[[-1, 0, 1], [0, -1, 2], [1, 2, 7]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 3]]",27,12,18
860,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
861,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 3]]",11,-11,9
862,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]",False,2,"[True, True]","[True, True]","[0, 2]","[[-1, 1], [1, 10]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 3]]",11,-11,9
863,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",False,6,"[True, True, True, True, False, True]","[True, True, True, True, False, True]","[0, 0, 0, 0, -2, 0]","[[0, 1, 0, 1, 0, 0], [1, 0, 0, 0, 2, 0], [0, 0, -1, 1, 0, 0], [1, 0, 1, -1, 2, 0], [0, 2, 0, 2, -4, 2], [0, 0, 0, 0, 2, -1]]","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",186,0,90
864,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[-1, 1, 0], [1, -1, 3], [0, 3, 5]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 3, 3]]",31,9,16
865,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[7, 1, 2], [1, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 2], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",26,12,18
