,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2,local-sections-A
385,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[6, -8, -2]",-11,0,False,3,"[True, True, True]","[True, True, True]","[1, -2, 0]","[[7, 2, 2], [2, -4, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 2], [0, 0, 0, 0, 0, 2], [1, 0, 0, 0, 0, 0]]",26,48,52,"[[6, 0], 'NA', [0, 1]]"
386,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
387,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-8, 2, 2]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-2, 0, 1]","[[-4, 0, 2], [0, -1, 2], [2, 2, 7]]","[[0, 0, 0, 0, 0, 2], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 3]]",27,48,52,"['NA', [3, 0], [2, 0]]"
388,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
389,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[0, 4, -8]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-1, 0, -2]","[[0, 4, 0], [4, 2, 2], [0, 2, -4]]","[[0, 0, 0, 0, 2, 2], [0, 1, 0, 2, 0, 1], [0, 0, 0, 0, 0, 2]]",28,64,53,"[[2, 0], [5, 0], 'NA']"
390,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
391,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,2,6,"[4, -8, 2, -2]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[1, -2, 0, 0]","[[6, 2, 1, 1], [2, -4, 0, 0], [1, 0, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 1, 2, 2], [0, 0, 0, 0, 0, 2], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",77,-16,54,"[[4, 0], 'NA', [3, 0], [0, 1]]"
392,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
393,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",7,3,2,6,"[6, -8, -2]",-11,0,False,3,"[True, True, True]","[True, True, True]","[1, -2, 0]","[[7, 2, 2], [2, -4, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 2], [0, 0, 0, 0, 0, 2], [1, 0, 0, 0, 0, 0]]",26,48,52,"[[6, 0], 'NA', [0, 1]]"
394,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
